task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,train_step_time_ms_mean,mamba_backend,seeds
Wall,mgvt_convmixer,3,1,0.7580581062396269,0.0,0.8519014202204866,0.0,0.9433210207339547,0.0,336247,96.61586667099981,,234
Wall,mgvt_convmixer,4,1,0.7594326744557143,0.0,0.8520216447340794,0.0,0.9435121281490635,0.0,336247,96.61586667099981,,234
Wall,mgvt_convmixer,5,1,0.7596976739363777,0.0,0.8524518092463637,0.0,0.9402941789939024,0.0,336247,96.61586667099981,,234
Wall,mgvt_convmixer,6,1,0.7568252071536625,0.0,0.8526194360253285,0.0,0.9344155109302819,0.0,336247,96.61586667099981,,234
Wall,mgvt_mamba,1,1,0.6478646026308577,0.0,0.7880804459117643,0.0,0.9117159268806304,0.0,362104,115.4475617460008,mamba_ssm,234
Wall,mgvt_mamba,2,1,0.7601976477940966,0.0,0.8579754509056764,0.0,0.9345452569140349,0.0,362104,115.4475617460008,mamba_ssm,234
Wall,mgvt_mamba,3,1,0.7755218174764419,0.0,0.8641579450529178,0.0,0.9367152038500087,0.0,362104,115.4475617460008,mamba_ssm,234
Wall,mgvt_mamba,4,1,0.7700522323931299,0.0,0.8552602564404163,0.0,0.9334468359655903,0.0,362104,115.4475617460008,mamba_ssm,234
Wall,mgvt_mamba,5,1,0.7621847128646431,0.0,0.8467511768939968,0.0,0.9280049674970564,0.0,362104,115.4475617460008,mamba_ssm,234
Wall,mgvt_mamba,6,1,0.7569819171987416,0.0,0.8421974663602364,0.0,0.9192608562656309,0.0,362104,115.4475617460008,mamba_ssm,234
